time,realization,experimentVersionNumber,lat,lon,t2m
1950-01-02,0,0001,50.1,12.34,268.42554
1950-02-02,0,0001,50.1,12.34,273.54712
1950-03-02,0,0001,50.1,12.34,275.85962
1950-04-02,0,0001,50.1,12.34,278.75244
1950-05-02,0,0001,50.1,12.34,286.1411
1950-06-02,0,0001,50.1,12.34,289.9995
1950-07-02,0,0001,50.1,12.34,291.35156
1950-08-02,0,0001,50.1,12.34,290.50806
1950-09-02,0,0001,50.1,12.34,285.19824
1950-10-02,0,0001,50.1,12.34,279.2212
1950-11-02,0,0001,50.1,12.34,275.104
1950-12-02,0,0001,50.1,12.34,269.2379
1951-01-02,0,0001,50.1,12.34,271.84058
1951-02-02,0,0001,50.1,12.34,272.06226
1951-03-02,0,0001,50.1,12.34,273.802
1951-04-02,0,0001,50.1,12.34,278.85815
1951-05-02,0,0001,50.1,12.34,283.8059
1951-06-02,0,0001,50.1,12.34,287.93042
1951-07-02,0,0001,50.1,12.34,290.11304
1951-08-02,0,0001,50.1,12.34,290.542
1951-09-02,0,0001,50.1,12.34,287.26196
1951-10-02,0,0001,50.1,12.34,279.36108
1951-11-02,0,0001,50.1,12.34,277.3313
1951-12-02,0,0001,50.1,12.34,272.88403
1952-01-02,0,0001,50.1,12.34,270.43213
1952-02-02,0,0001,50.1,12.34,270.3401
1952-03-02,0,0001,50.1,12.34,273.26465
1952-04-02,0,0001,50.1,12.34,282.30908
1952-05-02,0,0001,50.1,12.34,284.33398
1952-06-02,0,0001,50.1,12.34,287.7422
1952-07-02,0,0001,50.1,12.34,291.53638
1952-08-02,0,0001,50.1,12.34,291.6682
1952-09-02,0,0001,50.1,12.34,283.03833
1952-10-02,0,0001,50.1,12.34,279.07983
1952-11-02,0,0001,50.1,12.34,271.943
1952-12-02,0,0001,50.1,12.34,268.8269
1953-01-02,0,0001,50.1,12.34,269.07434
1953-02-02,0,0001,50.1,12.34,270.38977
1953-03-02,0,0001,50.1,12.34,275.4973
1953-04-02,0,0001,50.1,12.34,280.9995
1953-05-02,0,0001,50.1,12.34,285.114
1953-06-02,0,0001,50.1,12.34,288.65137
1953-07-02,0,0001,50.1,12.34,290.48535
1953-08-02,0,0001,50.1,12.34,288.92676
1953-09-02,0,0001,50.1,12.34,286.57056
1953-10-02,0,0001,50.1,12.34,282.4408
1953-11-02,0,0001,50.1,12.34,275.50806
1953-12-02,0,0001,50.1,12.34,273.4901
1954-01-02,0,0001,50.1,12.34,265.88794
1954-02-02,0,0001,50.1,12.34,266.23608
1954-03-02,0,0001,50.1,12.34,276.2588
1954-04-02,0,0001,50.1,12.34,277.3833
1954-05-02,0,0001,50.1,12.34,283.6985
1954-06-02,0,0001,50.1,12.34,288.54565
1954-07-02,0,0001,50.1,12.34,286.47412
1954-08-02,0,0001,50.1,12.34,288.4226
1954-09-02,0,0001,50.1,12.34,285.75146
1954-10-02,0,0001,50.1,12.34,281.19116
1954-11-02,0,0001,50.1,12.34,274.5376
1954-12-02,0,0001,50.1,12.34,273.761
1955-01-02,0,0001,50.1,12.34,269.0581
1955-02-02,0,0001,50.1,12.34,268.32568
