time,realization,experimentVersionNumber,lat,lon,t2m
1950-01-02,0,0001,48.84,16.64,269.13257
1950-02-02,0,0001,48.84,16.64,274.19165
1950-03-02,0,0001,48.84,16.64,278.96118
1950-04-02,0,0001,48.84,16.64,282.55908
1950-05-02,0,0001,48.84,16.64,289.01416
1950-06-02,0,0001,48.84,16.64,293.42725
1950-07-02,0,0001,48.84,16.64,295.66992
1950-08-02,0,0001,48.84,16.64,294.3733
1950-09-02,0,0001,48.84,16.64,289.3213
1950-10-02,0,0001,48.84,16.64,281.51416
1950-11-02,0,0001,48.84,16.64,277.64697
1950-12-02,0,0001,48.84,16.64,273.06995
1951-01-02,0,0001,48.84,16.64,273.76636
1951-02-02,0,0001,48.84,16.64,276.04272
1951-03-02,0,0001,48.84,16.64,276.80005
1951-04-02,0,0001,48.84,16.64,282.2058
1951-05-02,0,0001,48.84,16.64,286.6516
1951-06-02,0,0001,48.84,16.64,290.7234
1951-07-02,0,0001,48.84,16.64,292.91772
1951-08-02,0,0001,48.84,16.64,294.25684
1951-09-02,0,0001,48.84,16.64,290.8811
1951-10-02,0,0001,48.84,16.64,282.63647
1951-11-02,0,0001,48.84,16.64,280.552
1951-12-02,0,0001,48.84,16.64,274.42505
1952-01-02,0,0001,48.84,16.64,272.09033
1952-02-02,0,0001,48.84,16.64,271.87915
1952-03-02,0,0001,48.84,16.64,274.20996
1952-04-02,0,0001,48.84,16.64,284.8872
1952-05-02,0,0001,48.84,16.64,286.74023
1952-06-02,0,0001,48.84,16.64,290.3418
1952-07-02,0,0001,48.84,16.64,294.27466
1952-08-02,0,0001,48.84,16.64,295.34204
1952-09-02,0,0001,48.84,16.64,286.5735
1952-10-02,0,0001,48.84,16.64,281.8474
1952-11-02,0,0001,48.84,16.64,275.6383
1952-12-02,0,0001,48.84,16.64,270.89136
1953-01-02,0,0001,48.84,16.64,270.11145
1953-02-02,0,0001,48.84,16.64,272.7257
1953-03-02,0,0001,48.84,16.64,277.1692
1953-04-02,0,0001,48.84,16.64,283.46436
1953-05-02,0,0001,48.84,16.64,287.17065
1953-06-02,0,0001,48.84,16.64,291.5498
1953-07-02,0,0001,48.84,16.64,294.1084
1953-08-02,0,0001,48.84,16.64,291.99902
1953-09-02,0,0001,48.84,16.64,289.79517
1953-10-02,0,0001,48.84,16.64,284.96033
1953-11-02,0,0001,48.84,16.64,276.56665
1953-12-02,0,0001,48.84,16.64,273.94128
1954-01-02,0,0001,48.84,16.64,267.66333
1954-02-02,0,0001,48.84,16.64,267.19116
1954-03-02,0,0001,48.84,16.64,278.55957
1954-04-02,0,0001,48.84,16.64,279.54346
1954-05-02,0,0001,48.84,16.64,286.49536
1954-06-02,0,0001,48.84,16.64,291.82886
1954-07-02,0,0001,48.84,16.64,290.33936
1954-08-02,0,0001,48.84,16.64,292.48315
1954-09-02,0,0001,48.84,16.64,290.24365
1954-10-02,0,0001,48.84,16.64,282.71655
1954-11-02,0,0001,48.84,16.64,276.2212
1954-12-02,0,0001,48.84,16.64,276.08716
1955-01-02,0,0001,48.84,16.64,271.09717
1955-02-02,0,0001,48.84,16.64,272.2085
1955-03-02,0,0001,48.84,16.64,273.61365
1955-04-02,0,0001,48.84,16.64,279.87256
1955-05-02,0,0001,48.84,16.64,285.8745
1955-06-02,0,0001,48.84,16.64,289.75293
1955-07-02,0,0001,48.84,16.64,292.79785
1955-08-02,0,0001,48.84,16.64,291.83667
1955-09-02,0,0001,48.84,16.64,288.6366
1955-10-02,0,0001,48.84,16.64,282.75793
1955-11-02,0,0001,48.84,16.64,277.5011
1955-12-02,0,0001,48.84,16.64,275.03442
1956-01-02,0,0001,48.84,16.64,272.83936
1956-02-02,0,0001,48.84,16.64,262.24854
1956-03-02,0,0001,48.84,16.64,275.11157
1956-04-02,0,0001,48.84,16.64,281.04028
1956-05-02,0,0001,48.84,16.64,286.66748
1956-06-02,0,0001,48.84,16.64,289.84106
1956-07-02,0,0001,48.84,16.64,293.39917
1956-08-02,0,0001,48.84,16.64,291.56372
1956-09-02,0,0001,48.84,16.64,289.41528
1956-10-02,0,0001,48.84,16.64,282.60474
1956-11-02,0,0001,48.84,16.64,274.65186
1956-12-02,0,0001,48.84,16.64,273.948
1957-01-02,0,0001,48.84,16.64,271.70386
1957-02-02,0,0001,48.84,16.64,275.75537
1957-03-02,0,0001,48.84,16.64,279.0315
1957-04-02,0,0001,48.84,16.64,282.13135
1957-05-02,0,0001,48.84,16.64,284.89233
1957-06-02,0,0001,48.84,16.64,292.7837
1957-07-02,0,0001,48.84,16.64,293.94873
1957-08-02,0,0001,48.84,16.64,290.6765
1957-09-02,0,0001,48.84,16.64,286.87842
1957-10-02,0,0001,48.84,16.64,282.73657
1957-11-02,0,0001,48.84,16.64,279.01233
1957-12-02,0,0001,48.84,16.64,273.60498
1958-01-02,0,0001,48.84,16.64,272.52515
1958-02-02,0,0001,48.84,16.64,275.5027
1958-03-02,0,0001,48.84,16.64,270.80103
1958-04-02,0,0001,48.84,16.64,279.375
1958-05-02,0,0001,48.84,16.64,290.16528
1958-06-02,0,0001,48.84,16.64,289.89844
1958-07-02,0,0001,48.84,16.64,292.92627
1958-08-02,0,0001,48.84,16.64,292.58057
1958-09-02,0,0001,48.84,16.64,288.58716
1958-10-02,0,0001,48.84,16.64,283.7815
1958-11-02,0,0001,48.84,16.64,278.58154
1958-12-02,0,0001,48.84,16.64,275.0122
1959-01-02,0,0001,48.84,16.64,272.1433
1959-02-02,0,0001,48.84,16.64,272.9724
1959-03-02,0,0001,48.84,16.64,279.9568
1959-04-02,0,0001,48.84,16.64,283.12842
1959-05-02,0,0001,48.84,16.64,287.67554
1959-06-02,0,0001,48.84,16.64,290.51978
1959-07-02,0,0001,48.84,16.64,293.31055
1959-08-02,0,0001,48.84,16.64,291.7627
1959-09-02,0,0001,48.84,16.64,287.10938
1959-10-02,0,0001,48.84,16.64,282.27966
1959-11-02,0,0001,48.84,16.64,277.89893
1959-12-02,0,0001,48.84,16.64,274.74402
1960-01-02,0,0001,48.84,16.64,269.34717
1960-02-02,0,0001,48.84,16.64,272.44043
1960-03-02,0,0001,48.84,16.64,277.7849
1960-04-02,0,0001,48.84,16.64,281.7495
1960-05-02,0,0001,48.84,16.64,286.55396
1960-06-02,0,0001,48.84,16.64,291.10254
1960-07-02,0,0001,48.84,16.64,290.61523
1960-08-02,0,0001,48.84,16.64,291.51245
1960-09-02,0,0001,48.84,16.64,287.0869
1960-10-02,0,0001,48.84,16.64,283.73828
1960-11-02,0,0001,48.84,16.64,279.21277
1960-12-02,0,0001,48.84,16.64,275.51562
1961-01-02,0,0001,48.84,16.64,271.01025
1961-02-02,0,0001,48.84,16.64,275.77148
1961-03-02,0,0001,48.84,16.64,280.25195
1961-04-02,0,0001,48.84,16.64,285.67334
1961-05-02,0,0001,48.84,16.64,285.92383
1961-06-02,0,0001,48.84,16.64,291.32983
1961-07-02,0,0001,48.84,16.64,291.0188
1961-08-02,0,0001,48.84,16.64,291.80103
1961-09-02,0,0001,48.84,16.64,290.99365
1961-10-02,0,0001,48.84,16.64,284.9099
1961-11-02,0,0001,48.84,16.64,277.16455
1961-12-02,0,0001,48.84,16.64,271.42017
1962-01-02,0,0001,48.84,16.64,272.96704
1962-02-02,0,0001,48.84,16.64,272.84473
1962-03-02,0,0001,48.84,16.64,273.43555
1962-04-02,0,0001,48.84,16.64,283.72192
1962-05-02,0,0001,48.84,16.64,284.989
1962-06-02,0,0001,48.84,16.64,288.91455
1962-07-02,0,0001,48.84,16.64,291.36353
1962-08-02,0,0001,48.84,16.64,293.70166
1962-09-02,0,0001,48.84,16.64,287.7661
1962-10-02,0,0001,48.84,16.64,283.15857
1962-11-02,0,0001,48.84,16.64,276.9807
1962-12-02,0,0001,48.84,16.64,267.65454
1963-01-02,0,0001,48.84,16.64,264.07446
1963-02-02,0,0001,48.84,16.64,266.31055
1963-03-02,0,0001,48.84,16.64,273.32153
1963-04-02,0,0001,48.84,16.64,282.80737
1963-05-02,0,0001,48.84,16.64,287.026
1963-06-02,0,0001,48.84,16.64,290.969
1963-07-02,0,0001,48.84,16.64,293.86865
1963-08-02,0,0001,48.84,16.64,292.6355
1963-09-02,0,0001,48.84,16.64,289.37598
1963-10-02,0,0001,48.84,16.64,282.7975
1963-11-02,0,0001,48.84,16.64,280.72632
1963-12-02,0,0001,48.84,16.64,268.52246
1964-01-02,0,0001,48.84,16.64,267.70093
1964-02-02,0,0001,48.84,16.64,272.92358
1964-03-02,0,0001,48.84,16.64,274.06104
1964-04-02,0,0001,48.84,16.64,283.1797
1964-05-02,0,0001,48.84,16.64,286.9297
1964-06-02,0,0001,48.84,16.64,292.33472
1964-07-02,0,0001,48.84,16.64,292.86597
1964-08-02,0,0001,48.84,16.64,291.1858
1964-09-02,0,0001,48.84,16.64,288.54834
1964-10-02,0,0001,48.84,16.64,282.3734
1964-11-02,0,0001,48.84,16.64,278.99194
1964-12-02,0,0001,48.84,16.64,271.9087
1965-01-02,0,0001,48.84,16.64,271.64673
1965-02-02,0,0001,48.84,16.64,268.30078
1965-03-02,0,0001,48.84,16.64,274.79468
1965-04-02,0,0001,48.84,16.64,281.12158
1965-05-02,0,0001,48.84,16.64,285.2212
1965-06-02,0,0001,48.84,16.64,290.02588
1965-07-02,0,0001,48.84,16.64,291.03003
1965-08-02,0,0001,48.84,16.64,289.80444
1965-09-02,0,0001,48.84,16.64,288.56055
1965-10-02,0,0001,48.84,16.64,281.4762
1965-11-02,0,0001,48.84,16.64,274.37207
1965-12-02,0,0001,48.84,16.64,274.18848
1966-01-02,0,0001,48.84,16.64,268.28076
1966-02-02,0,0001,48.84,16.64,278.1703
1966-03-02,0,0001,48.84,16.64,277.22705
1966-04-02,0,0001,48.84,16.64,283.88013
1966-05-02,0,0001,48.84,16.64,287.25366
1966-06-02,0,0001,48.84,16.64,290.90918
1966-07-02,0,0001,48.84,16.64,291.4419
1966-08-02,0,0001,48.84,16.64,290.68677
1966-09-02,0,0001,48.84,16.64,287.74658
1966-10-02,0,0001,48.84,16.64,286.70703
1966-11-02,0,0001,48.84,16.64,275.97986
1966-12-02,0,0001,48.84,16.64,273.75122
1967-01-02,0,0001,48.84,16.64,270.91357
1967-02-02,0,0001,48.84,16.64,274.69727
1967-03-02,0,0001,48.84,16.64,278.94727
1967-04-02,0,0001,48.84,16.64,281.80298
1967-05-02,0,0001,48.84,16.64,287.6167
1967-06-02,0,0001,48.84,16.64,290.4314
1967-07-02,0,0001,48.84,16.64,294.52148
1967-08-02,0,0001,48.84,16.64,292.66968
1967-09-02,0,0001,48.84,16.64,289.37732
1967-10-02,0,0001,48.84,16.64,284.9298
1967-11-02,0,0001,48.84,16.64,277.2887
1967-12-02,0,0001,48.84,16.64,273.23828
1968-01-02,0,0001,48.84,16.64,269.75806
1968-02-02,0,0001,48.84,16.64,274.86523
1968-03-02,0,0001,48.84,16.64,277.95923
1968-04-02,0,0001,48.84,16.64,283.8723
1968-05-02,0,0001,48.84,16.64,287.45312
1968-06-02,0,0001,48.84,16.64,291.63965
1968-07-02,0,0001,48.84,16.64,292.34888
1968-08-02,0,0001,48.84,16.64,290.77173
1968-09-02,0,0001,48.84,16.64,287.989
1968-10-02,0,0001,48.84,16.64,282.79736
1968-11-02,0,0001,48.84,16.64,278.89795
1968-12-02,0,0001,48.84,16.64,270.1914
1969-01-02,0,0001,48.84,16.64,269.4607
1969-02-02,0,0001,48.84,16.64,270.83264
1969-03-02,0,0001,48.84,16.64,274.21045
1969-04-02,0,0001,48.84,16.64,281.65942
1969-05-02,0,0001,48.84,16.64,289.42773
1969-06-02,0,0001,48.84,16.64,289.75415
1969-07-02,0,0001,48.84,16.64,292.38745
1969-08-02,0,0001,48.84,16.64,290.6985
1969-09-02,0,0001,48.84,16.64,288.45312
1969-10-02,0,0001,48.84,16.64,283.8468
1969-11-02,0,0001,48.84,16.64,278.95813
1969-12-02,0,0001,48.84,16.64,267.72998
1970-01-02,0,0001,48.84,16.64,269.5791
1970-02-02,0,0001,48.84,16.64,270.42285
1970-03-02,0,0001,48.84,16.64,274.7351
1970-04-02,0,0001,48.84,16.64,281.03516
1970-05-02,0,0001,48.84,16.64,285.43774
1970-06-02,0,0001,48.84,16.64,291.2871
1970-07-02,0,0001,48.84,16.64,292.18018
1970-08-02,0,0001,48.84,16.64,291.80103
1970-09-02,0,0001,48.84,16.64,287.69727
1970-10-02,0,0001,48.84,16.64,282.0343
1970-11-02,0,0001,48.84,16.64,279.76465
1970-12-02,0,0001,48.84,16.64,273.22693
1971-01-02,0,0001,48.84,16.64,269.00916
1971-02-02,0,0001,48.84,16.64,274.97217
1971-03-02,0,0001,48.84,16.64,273.86035
1971-04-02,0,0001,48.84,16.64,282.89795
1971-05-02,0,0001,48.84,16.64,288.8567
1971-06-02,0,0001,48.84,16.64,289.82666
1971-07-02,0,0001,48.84,16.64,293.35474
1971-08-02,0,0001,48.84,16.64,295.07568
1971-09-02,0,0001,48.84,16.64,286.71802
1971-10-02,0,0001,48.84,16.64,281.88232
1971-11-02,0,0001,48.84,16.64,276.80762
1971-12-02,0,0001,48.84,16.64,276.58765
1972-01-02,0,0001,48.84,16.64,269.92224
1972-02-02,0,0001,48.84,16.64,275.86
1972-03-02,0,0001,48.84,16.64,279.27368
1972-04-02,0,0001,48.84,16.64,282.11353
1972-05-02,0,0001,48.84,16.64,286.73877
1972-06-02,0,0001,48.84,16.64,290.8064
1972-07-02,0,0001,48.84,16.64,293.08496
1972-08-02,0,0001,48.84,16.64,291.7229
1972-09-02,0,0001,48.84,16.64,285.86108
1972-10-02,0,0001,48.84,16.64,280.75977
1972-11-02,0,0001,48.84,16.64,278.0968
1972-12-02,0,0001,48.84,16.64,273.61328
1973-01-02,0,0001,48.84,16.64,272.1775
1973-02-02,0,0001,48.84,16.64,274.20703
1973-03-02,0,0001,48.84,16.64,277.7234
1973-04-02,0,0001,48.84,16.64,280.50757
1973-05-02,0,0001,48.84,16.64,288.03833
1973-06-02,0,0001,48.84,16.64,290.65674
1973-07-02,0,0001,48.84,16.64,292.9912
1973-08-02,0,0001,48.84,16.64,293.78638
1973-09-02,0,0001,48.84,16.64,289.6748
1973-10-02,0,0001,48.84,16.64,281.34485
1973-11-02,0,0001,48.84,16.64,275.84302
1973-12-02,0,0001,48.84,16.64,273.48657
1974-01-02,0,0001,48.84,16.64,274.54468
1974-02-02,0,0001,48.84,16.64,277.18018
1974-03-02,0,0001,48.84,16.64,280.5276
1974-04-02,0,0001,48.84,16.64,282.7744
1974-05-02,0,0001,48.84,16.64,286.66016
1974-06-02,0,0001,48.84,16.64,289.03052
1974-07-02,0,0001,48.84,16.64,291.23364
1974-08-02,0,0001,48.84,16.64,294.32788
1974-09-02,0,0001,48.84,16.64,288.323
1974-10-02,0,0001,48.84,16.64,279.39722
1974-11-02,0,0001,48.84,16.64,277.22607
1974-12-02,0,0001,48.84,16.64,276.7605
1975-01-02,0,0001,48.84,16.64,275.5569
1975-02-02,0,0001,48.84,16.64,272.9536
1975-03-02,0,0001,48.84,16.64,278.53198
1975-04-02,0,0001,48.84,16.64,281.44482
1975-05-02,0,0001,48.84,16.64,288.1433
1975-06-02,0,0001,48.84,16.64,289.91968
1975-07-02,0,0001,48.84,16.64,292.74512
1975-08-02,0,0001,48.84,16.64,292.92627
1975-09-02,0,0001,48.84,16.64,291.40137
1975-10-02,0,0001,48.84,16.64,282.82642
1975-11-02,0,0001,48.84,16.64,276.46875
1975-12-02,0,0001,48.84,16.64,273.02808
1976-01-02,0,0001,48.84,16.64,274.01025
1976-02-02,0,0001,48.84,16.64,272.75867
