time,realization,experimentVersionNumber,lat,lon,sd
1950-01-01,0,0001,50.74,15.74,0.07676506
1950-02-01,0,0001,50.74,15.74,0.10416031
1950-03-01,0,0001,50.74,15.74,0.04158306
1950-04-01,0,0001,50.74,15.74,0.0002822876
1950-05-01,0,0001,50.74,15.74,9.536743e-07
1950-06-01,0,0001,50.74,15.74,-7.146841e-25
1950-07-01,0,0001,50.74,15.74,-7.3147685e-25
1950-08-01,0,0001,50.74,15.74,-7.345365e-25
1950-09-01,0,0001,50.74,15.74,-7.345365e-25
1950-10-01,0,0001,50.74,15.74,0.0017852783
1950-11-01,0,0001,50.74,15.74,0.008322716
1950-12-01,0,0001,50.74,15.74,0.015285492
1951-01-01,0,0001,50.74,15.74,0.069028854
1951-02-01,0,0001,50.74,15.74,0.104040146
1951-03-01,0,0001,50.74,15.74,0.10711765
1951-04-01,0,0001,50.74,15.74,0.0126132965
1951-05-01,0,0001,50.74,15.74,-5.8233525e-25
1951-06-01,0,0001,50.74,15.74,-6.659265e-25
1951-07-01,0,0001,50.74,15.74,-7.303917e-25
1951-08-01,0,0001,50.74,15.74,-7.345365e-25
1951-09-01,0,0001,50.74,15.74,-7.345365e-25
1951-10-01,0,0001,50.74,15.74,-7.345365e-25
1951-11-01,0,0001,50.74,15.74,0.0010671616
1951-12-01,0,0001,50.74,15.74,0.012043953
1952-01-01,0,0001,50.74,15.74,0.044050217
1952-02-01,0,0001,50.74,15.74,0.11075497
1952-03-01,0,0001,50.74,15.74,0.17248917
1952-04-01,0,0001,50.74,15.74,0.084620476
1952-05-01,0,0001,50.74,15.74,0.0001373291
1952-06-01,0,0001,50.74,15.74,-7.1529075e-25
1952-07-01,0,0001,50.74,15.74,-7.323307e-25
1952-08-01,0,0001,50.74,15.74,-7.345365e-25
1952-09-01,0,0001,50.74,15.74,9.536743e-06
1952-10-01,0,0001,50.74,15.74,0.00033283234
1952-11-01,0,0001,50.74,15.74,0.023147583
1952-12-01,0,0001,50.74,15.74,0.036043167
1953-01-01,0,0001,50.74,15.74,0.09198284
1953-02-01,0,0001,50.74,15.74,0.12534523
1953-03-01,0,0001,50.74,15.74,0.102482796
1953-04-01,0,0001,50.74,15.74,0.0014104843
1953-05-01,0,0001,50.74,15.74,0.00084495544
1953-06-01,0,0001,50.74,15.74,-7.345365e-25
1953-07-01,0,0001,50.74,15.74,-7.345365e-25
1953-08-01,0,0001,50.74,15.74,-7.345365e-25
1953-09-01,0,0001,50.74,15.74,-7.345365e-25
1953-10-01,0,0001,50.74,15.74,-7.345365e-25
1953-11-01,0,0001,50.74,15.74,6.198883e-05
1953-12-01,0,0001,50.74,15.74,0.003865242
1954-01-01,0,0001,50.74,15.74,0.060333252
1954-02-01,0,0001,50.74,15.74,0.091908455
1954-03-01,0,0001,50.74,15.74,0.07264423
1954-04-01,0,0001,50.74,15.74,0.008656502
1954-05-01,0,0001,50.74,15.74,1.04904175e-05
1954-06-01,0,0001,50.74,15.74,-7.345365e-25
1954-07-01,0,0001,50.74,15.74,-7.345365e-25
1954-08-01,0,0001,50.74,15.74,-7.345365e-25
1954-09-01,0,0001,50.74,15.74,5.2452087e-05
1954-10-01,0,0001,50.74,15.74,0.00021839142
1954-11-01,0,0001,50.74,15.74,0.0052280426
1954-12-01,0,0001,50.74,15.74,0.02030754
1955-01-01,0,0001,50.74,15.74,0.08474159
1955-02-01,0,0001,50.74,15.74,0.12813091
1955-03-01,0,0001,50.74,15.74,0.14463139
1955-04-01,0,0001,50.74,15.74,0.051125526
